registro_id,data_movimentacao,cidade,uf,canal,dispositivo,tipo_movimentacao,categoria,grupo_financeiro,titulo_movimentacao,valor_total,forma_pagamento,pago_por,participantes_qtd,percentual_rateio,valor_por_participante,status_rateio,status_pagamento,data_vencimento,dias_atraso,comprovante_enviado,origem_registro,saldo_participante,avaliacao_experiencia,observacao
CAF-00010,2025-08-24,Campinas,SP,web,desktop,despesa_grupo,transportee,Amigos Futebol,Pedágio,550.64,dinheiro,Larissa,8,12.5,68.83,parcial,falha_pagamento,27/08/2025,0,SIM,importacao_bancaria,"96,71","5,0",
CAF-00011,2025-10-03,Campinas,sp,api,tablet,despesa_grupo,transporte,Amigos Futebol,Pedágio,571.86,cartao_debito,Giovana,7,14.29,81.69,aberto,pendente,2025-10-16,0,nao,api_integracao,-112.71,4.5,
CAF-00012,2025-05-26,salvador,BA,site,tablet,despesa_grupo,lazer,Viagem Praia,Cinema,"53,59",dinheiro,João,8,12.5,6.7,fechado,pago,2025-06-15,0,NÃO,recorrente,-120.42,2.4,
CAF-00013,10/03/2025,Salvador,BA,web,tablet,despesa_pessoal,moradia,Evento Churrasco,Água,"1054,63",transferencia,Eduarda,8,100,131.83,fechado,pago,2025-03-17,0,sim,api_integracao,-318.61,"3,0",
CAF-00014,27-10-2025,Uberaba,MG,web,desktop,despesa_grupo,viagem,Amigos Futebol,Reserva,3067.28,dinheiro,Isabela,7,14.29,NA,fechado,atrasado,2025-11-03,18,NÃO,recorrente,-565.17,3.0,
CAF-00015,11/03/2025,são paulo,SP,site,desktop,despesa_grupo,contaz,Amigos Futebol,Telefone,"225,65",pix,Henrique,2,50.0,112.83,fechado,pendente,2025-03-22,11,sim,manual,"539,53",2.6,
CAF-00016,25-03-2025,Uberlândia,MG,web,desktop,pagamento_rateio,lazer,Familia Silva,Show,100.09,cartao_debito,Pedro,7,14.29,"14,3",parcial,pendente,12/04/2025,0,NÃO,api_integracao,"-517,25",3.9,
CAF-00017,03/10/2025,Ribeirão Preto,SP,api,desktop,reembolso,transporte,Amigos Futebol,Ônibus,,dinheiro,João,6,16.67,"36,44",fechado,pago,18/10/2025,0,nao,recorrente,-345.46,4.4,
CAF-00018,2025-09-09,uberaba,MG,site,desktop,despesa_pessoal,viagem,Pessoal,Passeio,2475.92,cartao_debito,Felipe,1,100,2475.92,fechado,pendente,2025-09-17,0,SIM,manual,291.46,4.9,
CAF-00019,2025-10-01,Uberaba,MG,site,tablet,reembolso,saude,Familia Silva,Farmácia,494.34,dinheiro,Henrique,5,20.0,"98,87",aberto,falha_pagamento,09/10/2025,0,NÃO,manual,386.54,3.2,
CAF-00020,2025-09-25,Ribeirão Preto,SP,web,desktop,despesa_pessoal,alimentacao,Pessoal,Almoço,806.24,cartao_credito,Larissa,1,100,806.24,aberto,pagoo,2025-09-30,0,,manual,-412.16,3.2,
CAF-00021,2025-04-12,Campinas,SP,site,mobile,despesa_grupo,mercado,Amigos Futebol,Hortifruti,,transferencia,Eduarda,7,14.29,16.98,parcial,pendente,2025-04-29,1,NÃO,api_integracao,124.46,2.1,
CAF-00022,15-08-2025,São Paulo,SP,web,mobile,despesa_pessoal,contas,Pessoal,Luz,731.21,cartao_debito,Giovana,1,100,"731,21",fechado,pendente,27/08/2025,0,NÃO,manual,-222.58,3.0,
CAF-00023,2025-04-15,São Paulo,SP,web,mobile,despesa_grupo,lazer,Viagem Praia,Barzinho,"474,95",boleto,Giovana,2,50.0,237.47,aberto,atrasado,2025-04-18,8,nao,recorrente,519.18,"2,9",
CAF-00024,2025-08-01,Curitiba,PR,api,tablet,despesa_pessoal,saude,Evento Churrasco,Exame,419.43,cartao_debito,Isabela,8,100,52.43,parcial,pago,11/08/2025,0,nao,recorrente,-319.73,"4,3",
CAF-00025,21/02/2025,ribeirão preto,SP,app,tablet,despesa_grupo,moradia,Familia Silva,Água,1105.31,boleto,Mateus,5,20.0,"221,06",fechado,atrasado,2025-03-10,21,NÃO,manual,"140,95",2.7,
CAF-00026,2025-01-29,Salvador,BA,web,tablet,receita,moradia,Pessoal,Depósito,6003.13,cartao_credito,Diego,1,100,"6003,13",parcial,pendente,2025-02-06,0,NÃO,api_integracao,213.13,2.5,
CAF-00027,2025-10-22,curitiba,PR,web,desktop,despesa_grupo,alimentacao,Evento Churrasco,Café,662.74,cartao_credito,João,8,12.5,"82,84",aberto,pago,2025-11-10,0,nao,manual,"484,08",3.9,
CAF-00028,20/05/2025,Curitiba,PR,api,tablet,reembolso,transporte,Evento Churrasco,Uber,132.53,cartao_credito,Pedro,7,14.29,18.93,fechado,falha_pagamento,2025-06-06,0,NÃO,manual,-282.65,2.4,
CAF-00029,2025-02-02,Ribeirão Preto,SP,web,mobile,despesa_grupo,alimentacao,Amigos Futebol,Jantar,111.96,cartao_credito,Rafaela,6,16.67,18.66,aberto,pago,2025-02-19,0,nao,recorrente,185.91,4.5,
CAF-00030,2025-02-01,Campinas,SP,web,mobile,despesa_pessoal,alimentacao,Pessoal,Café,218.38,cartao_credito,Natália,1,100,218.38,parcial,pendente,2025-02-18,0,nao,api_integracao,"329,24",4.4,
CAF-00031,2025-01-09,uberaba,MG,app,tablet,despesa_grupo,saude,Casa 302,Exame,510.71,dinheiro,Isabela,3,33.33,"170,24",cancelado,pendente,2025-01-25,0,sim,manual,598.3,4.5,
CAF-00032,2025-09-29,belo horizonte,MG,site,desktop,despesa_pessoal,lazer,Pessoal,Game,347.94,transferencia,Bruno,1,100,"347,94",aberto,pendente,2025-10-07,8,sim,manual,398.13,2.3,
CAF-00033,27-01-2025,Curitiba,PR,site,mobile,despesa_pessoal,lazer,Casa 302,Barzinho,110.93,cartao_debito,João,3,100,"36,98",fechdao,atrasado,2025-02-15,42,,manual,130.79,"4,0",
CAF-00034,16/02/2025,Campinas,SP,site,desktop,despesa_grupo,viagem,Familia Silva,Hotel,2500.14,pix,Larissa,2,50.0,1250.07,aberto,pago,2025-03-03,0,NÃO,api_integracao,"-341,32","3,5",
CAF-00035,2025-05-11,uberlândia,MG,site,mobile,despesa_grupo,lazer,Casa 302,Cinema,346.55,transferencia,Ana,5,20.0,"69,31",abertto,estornado,2025-05-21,0,,recorrente,251.4,3.3,
CAF-00036,22/07/2025,Salvador,BA,app,tablet,despesa_pessoal,educacao,Pessoal,Livro,3080.94,transferencia,Pedro,1,100,3080.94,aberto,pendente,2025-07-30,0,sim,importacao_bancaria,541.55,3.9,
CAF-00037,05/06/2025,Uberaba,mg,web,desktop,despesa_grupo,viagem,Amigos Futebol,Hotel,3135.5,pix,João,6,16.67,522.58,parcial,pago,22/06/2025,0,sim,recorrente,"490,86",3.7,
CAF-00038,2025-08-13,São Paulo,SP,web,desktop,receita,alimentacao,Casa 302,Reembolso recebido,4666.76,cartao_debito,Eduarda,7,100,666.68,fechado,falha_pagamento,01/09/2025,0,SIM,manual,99.29,2.4,
CAF-00039,2025-09-27,Belo Horizonte,mg,api,mobile,pagamento_rateio,viagem,Evento Churrasco,Passagem,742.06,pix,Eduarda,8,12.5,92.76,fechado,pago,14/10/2025,0,,manual,"194,32",4.6,
CAF-00040,26/05/2025,Ribeirão Preto,SP,web,mobile,despesa_grupo,saude,Evento Churrasco,Consulta,664.73,boleto,Isabela,5,20.0,"132,95",cancelado,atrasado,2025-06-14,17,sim,recorrente,448.94,3.7,
CAF-00041,28-06-2025,belo horizonte,MG,site,desktop,pagamento_rateio,viagem,Equipe Projeto,Hotel,632.39,transferencia,Larissa,4,25.0,158.1,fechado,pendente,07/07/2025,0,nao,recorrente,-61.68,"2,0",
CAF-00042,2025-08-23,Ribeirão Preto,sp,site,tablet,despesa_grupo,contas,Republica Alpha,Internet,215.87,dinheiro,Carla,7,14.29,30.84,fechado,pago,2025-09-03,0,,manual,-131.46,3.4,
CAF-00043,2025-10-07,São Paulo,SP,web,tablet,despesa_grupo,moradia,Familia Silva,Água,924.53,cartao_credito,Rafaela,2,50.0,462.26,aberto,pendente,19/10/2025,0,SIM,manual,303.95,2.6,
CAF-00044,2025-09-12,Curitiba,PR,app,desktop,despesa_pessoal,moradia,Pessoal,Energia,1284.57,cartao_debito,Eduarda,1,100,1284.57,parcial,atrasado,2025-09-17,23,NÃO,manual,272.18,"4,7",
CAF-00045,2025-08-13,Uberlândia,MG,api,desktop,pagamento_rateio,alimentacao,Viagem Praia,Jantar,"807,27",cartao_debito,Henrique,8,12.5,100.91,aberto,pendente,2025-08-24,0,nao,manual,-568.9,"2,6",
CAF-00046,30/03/2025,Ribeirão Preto,SP,api,tablet,despesa_grupo,transporte,Amigos Futebol,Pedágio,"725,89",transferencia,Mateus,7,14.29,103.7,fechado,atrasado,2025-04-15,13,nao,importacao_bancaria,348.45,2.1,
CAF-00047,2025-02-07,Salvador,BA,api,mobile,reembolso,educacao,Viagem Praia,Curso,2945.53,pix,Pedro,2,50.0,1472.77,parcial,pendente,2025-02-12,0,SIM,api_integracao,"415,12",2.8,
CAF-00048,2025-10-16,uberaba,MG,api,tablet,despesa_grupo,contas,Republica Alpha,Telefone,757.31,boleto,Eduarda,7,14.29,108.19,cancelado,pago,2025-10-28,0,sim,manual,-410.3,3.2,
CAF-00049,2025-03-04,campinas,sp,web,tablet,despesa_grupo,moradia,Casa 302,Internet,891.03,cartao_credito,Henrique,6,16.67,148.5,parcial,atrasado,2025-03-19,26,,recorrente,560.02,2.6,
CAF-00050,2025-07-07,Uberaba,mg,api,mobile,despesa_grupo,saude,Amigos Futebol,Exame,"583,13",pix,Carla,2,50.0,"291,56",parciall,atrasado,2025-07-17,24,nao,importacao_bancaria,122.96,3.2,
CAF-00051,2025-06-03,Ribeirão Preto,SP,app,desktop,despesa_grupo,transporte,Pessoal,Pedágio,680.29,transferencia,Pedro,1,100.0,680.29,fechado,pendente,2025-06-18,0,,importacao_bancaria,"265,68","3,8",
CAF-00052,2025-04-15,Ribeirão Preto,SP,app,tablet,despesa_grupo,lazer,Casa 302,Game,"453,77",cartao_debito,Carla,5,20.0,90.75,fechado,pago,2025-04-26,0,SIM,recorrente,-369.28,2.7,
CAF-00053,2025-03-04,Belo Horizonte,MG,api,mobile,despesa_grupo,mercado,Familia Silva,Hortifruti,"786,55",transferencia,Eduarda,7,14.29,112.36,parcial,pendente,2025-03-21,0,SIM,importacao_bancaria,-468.93,"4,2",
CAF-00054,2025-03-22,Ribeirão Preto,sp,api,desktop,despesa_grupo,alimentacao,Familia Silva,Padaria,"208,9",transferencia,Mateus,8,12.5,"26,11",cancelado,estornado,2025-03-27,0,nao,manual,596.61,3.2,
CAF-00055,10/09/2025,São Paulo,SP,site,mobile,despesa_grupo,saude,Amigos Futebol,Exame,170.48,transferencia,Felipe,8,12.5,21.31,aberto,pago,data inválida,0,NÃO,recorrente,18.34,2.3,
CAF-00056,2025-07-04,Uberaba,MG,site,desktop,receita,mercado,Amigos Futebol,Freelance,1561.34,cartao_credito,Henrique,7,100,223.05,cancelado,pago,21/07/2025,0,,importacao_bancaria,314.23,"4,0",
CAF-00057,2025-09-24,Campinas,SP,web,mobile,despesa_pessoal,educacao,Pessoal,Mensalidade,,cartao_debito,Mateus,1,100,1667.78,aberto,pendente,2025-09-24,0,sim,recorrente,-186.57,2.2,
CAF-00058,2025-07-15,Belo Horizonte,MG,site,tablet,reembolso,transporte,Viagem Praia,Ônibus,456.58,transferencia,Diego,8,12.5,57.07,aberto,pendente,2025-07-24,0,NÃO,recorrente,388.03,"2,7",
CAF-00059,2025-01-18,Uberaba,mg,web,mobile,despesa_pessoal,alimentacao,Pessoal,Café,210.52,transferencia,João,1,100,210.52,aberto,pago,2025-01-28,0,nao,importacao_bancaria,-103.73,2.8,
CAF-00060,2025-07-29,Belo Horizonte,MG,site,mobile,despesa_grupo,moradia,Evento Churrasco,Aluguel,3108.19,boelto,Isabela,3,33.33,1036.06,parcial,pendente,2025-08-08,0,SIM,manual,"42,76","4,5",
CAF-00061,2025-01-08,Campinas,sp,web,mobile,receita,lazer,Pessoal,Reembolso recebido,2969.77,boleto,Larissa,1,100,2969.77,aberto,pendente,24/01/2025,0,NÃO,api_integracao,"497,2",3.1,
CAF-00062,31/02/2025,Salvador,BA,web,desktop,despesa_grupo,viagem,Viagem Praia,Passagem,1741.7,boleto,Larissa,2,50.0,870.85,parcial,atrasdo,15/09/2025,43,sim,manual,-105.13,4.5,
CAF-00063,2025-01-07,Curitiba,PR,web,mobile,despesa_grupo,transporte,Viagem Praia,Combustível,"175,26",boleto,Eduarda,8,12.5,21.91,aberto,atrasado,2025-01-09,26,NÃO,importacao_bancaria,"588,28","2,7",
CAF-00064,2025-08-11,Salvador,BA,app,tablet,pagamento_rateio,lazer,Equipe Projeto,Game,"241,36",pix,Larissa,4,25.0,60.34,fechado,pago,2025-08-12,0,SIM,manual,553.76,3.8,
CAF-00065,2025-02-10,salvador,BA,app,desktop,despesa_pessoal,contas,Casa 302,Luz,544.49,dinheiro,Henrique,3,100,181.5,aberto,falha_pagamento,2025-02-23,0,,recorrente,"-497,17","3,9",
CAF-00066,2025-05-19,Uberlândia,MG,web,mobile,despesa_grupo,viagem,Familia Silva,Passeio,385.17,dinheiro,Giovana,8,12.5,48.15,aberto,estornado,2025-05-26,0,nao,recorrente,-396.6,2.8,
CAF-00067,2025-03-11,Belo Horizonte,MG,api,desktop,despesa_grupo,moradia,Amigos Futebol,Energia,"2331,58",dinheiro,Felipe,3,33.33,"777,19",cancelado,falha_pagamento,2025-03-20,0,NÃO,importacao_bancaria,-208.94,2.8,
CAF-00068,05/02/2025,Belo Horizonte,mg,api,mobile,despesa_grupo,moradia,Pessoal,Água,3173.5,dinheiro,João,1,100.0,3173.5,parcial,pago,2025-02-18,0,SIM,manual,-468.76,"2,7",
CAF-00069,2025-09-23,Campinas,SP,site,desktop,pagamento_rateio,saude,Familia Silva,Consulta,"362,34",pix,Bruno,8,12.5,"45,29",cancelado,pendente,2025-10-02,0,,recorrente,-182.04,2.3,
CAF-00070,2025-10-10,Belo Horizonte,MG,web,tablet,despesa_grupo,contas,Pessoal,Luz,630.72,cartao_credito,Henrique,1,100.0,630.72,parcial,pago,2025-10-16,0,sim,manual,359.4,"3,6",
CAF-00071,30/03/2025,Curitiba,PR,site,desktop,despesa_grupo,mercado,Familia Silva,Supermercado,"326,71",cartao_credito,Isabela,5,20.0,65.34,parcial,pendente,2025-04-11,0,,importacao_bancaria,65.9,3.5,
CAF-00072,2025-08-01,Ribeirão Preto,sp,app,mobile,despesa_grupo,mercado,Equipe Projeto,Compra mensal,256.04,dinheiro,João,7,14.29,36.58,fechado,pagoo,2025-08-17,0,sim,api_integracao,330.14,4.5,
CAF-00073,28/06/2025,Uberlândia,MG,site,mobile,reembolso,viagem,Pessoal,Passagem,"2586,82",cartao_credito,Natália,1,100.0,2586.82,aberto,pago,2025-07-06,0,nao,api_integracao,"574,8",2.9,
CAF-00074,2025-03-09,Salvador,BA,web,desktop,despesa_grupo,mercado,Pessoal,Hortifruti,392.41,transferencia,Natália,1,100.0,"392,41",fechado,pendente,2025-03-25,0,SIM,recorrente,540.3,"3,0",
CAF-00075,2025-05-18,Curitiba,PR,web,desktop,pagamento_rateio,alimentacao,Republica Alpha,Almoço,537.86,dinheiro,Ana,2,50.0,"268,93",fechado,pendente,2025-06-01,0,nao,importacao_bancaria,458.58,2.9,
CAF-00076,2025-02-16,Uberaba,mg,site,tablet,receita,alimentacao,Pessoal,Salário,"3207,19",cartao_credito,Henrique,1,100,3207.19,aberto,pago,2025-02-19,0,SIM,api_integracao,-435.44,4.3,
CAF-00077,15/08/2025,Uberlândia,mg,app,tablet,receita,viagem,Casa 302,Freelance,3954.36,boleto,Mateus,6,100,659.06,aberto,falha_pagamento,15/08/2025,0,SIM,importacao_bancaria,21.3,3.5,
CAF-00078,2025-06-12,Belo Horizonte,MG,web,mobile,despesa_grupo,transporte,Republica Alpha,Pedágio,195.15,pix,Natália,5,20.0,39.03,parcial,pago,28/06/2025,0,NÃO,recorrente,-501.09,3.6,
CAF-00079,12/08/2025,campinas,sp,web,mobile,despesa_pessoal,alimentacao,Pessoal,Pizza,114.73,transferencia,Carla,1,100,114.73,fechado,pendente,2025-08-23,0,SIM,importacao_bancaria,-153.76,4.2,
CAF-00080,2025-01-29,São Paulo,SP,app,tablet,receita,transporte,Pessoal,Salário,870.04,pix,Henrique,1,100,870.04,aberto,estornado,03/02/2025,0,sim,recorrente,-330.58,"2,7",
CAF-00081,25/05/2025,Curitiba,PR,app,desktop,despesa_grupo,mercado,Equipe Projeto,Hortifruti,322.51,dinheiro,Natália,8,12.5,"40,31",aberto,estornado,2025-06-01,0,NÃO,manual,-320.4,3.0,
CAF-00082,2025-03-14,uberlândia,MG,web,tablet,pagamento_rateio,saude,Familia Silva,Exame,"94,81",cartao_credito,Larissa,8,12.5,"11,85",parcial,pago,2025-03-15,0,nao,importacao_bancaria,-249.99,"4,6",
CAF-00083,31/02/2025,Salvador,ba,api,desktop,despesa_grupo,transporte,Familia Silva,Combustível,689.34,cartao_debito,Pedro,7,14.29,98.48,fechado,pendete,2025-06-20,0,SIM,recorrente,16.15,"4,0",
CAF-00084,2025-04-24,Belo Horizonte,MG,app,tablet,despesa_pessoal,transporte,Pessoal,Uber,180.12,transferencia,Henrique,1,100,180.12,fechado,pendente,2025-05-04,0,sim,importacao_bancaria,"508,96",3.3,
CAF-00085,2025-09-13,ribeirão preto,SP,site,desktop,despesa_grupo,educacao,Equipe Projeto,Mensalidade,1899.42,pix,Giovana,8,12.5,237.43,fechado,pago,2025-09-28,0,,api_integracao,-133.94,2.5,
CAF-00086,2025-05-17,Uberaba,MG,web,desktop,pagamento_rateio,moradia,Viagem Praia,Condomínio,2647.7,transf,Felipe,6,16.67,NA,aberto,pago,2025-06-04,0,,importacao_bancaria,404.04,4.4,
CAF-00087,2025-06-24,salvador,ba,site,mobile,reembolso,viagem,Familia Silva,Passeio,"2237,1",boleto,Bruno,4,25.0,559.27,aberto,pendente,2025-06-29,0,NÃO,api_integracao,"-390,96",4.9,
CAF-00088,20/07/2025,Uberaba,MG,site,tablet,despesa_pessoal,saude,Pessoal,Exame,79.97,cartao_debito,Felipe,1,100,"79,97",aberto,atrasado,22/07/2025,43,SIM,recorrente,-586.33,2.6,
CAF-00089,03/09/2025,campinas,sp,app,desktop,despesa_grupo,mercado,Familia Silva,Supermercado,300.41,dinheiro,Carla,7,14.29,42.92,aberto,falha_pagamento,2025-09-05,0,,recorrente,245.41,3.3,
CAF-00090,2025-02-19,ribeirão preto,SP,web,mobile,despesa_grupo,saude,Equipe Projeto,Farmácia,36.49,cartao_credito,Larissa,4,25.0,9.12,cancelado,pago,2025-02-22,0,NÃO,recorrente,"-13,08",4.0,
CAF-00091,2025-02-19,Salvador,BA,site,tablet,despesa_grupo,contas,Pessoal,Telefone,493.22,cartao_credito,Henrique,1,100.0,493.22,aberto,pago,2025-02-20,0,,importacao_bancaria,-455.66,4.3,
CAF-00092,2025-02-04,Belo Horizonte,MG,web,mobile,receita,educacao,Familia Silva,Freelance,5122.75,pix,Rafaela,2,100,2561.38,parciall,pendente,13/02/2025,0,NÃO,api_integracao,-140.35,3.5,
CAF-00093,2025-07-10,Curitiba,PR,app,mobile,despesa_grupo,saude,Casa 302,Consulta,"623,55",boleto,Larissa,2,50.0,311.77,aberto,pendente,2025-07-23,0,SIM,manual,18.32,2.5,
CAF-00094,2025-04-12,Ribeirão Preto,SP,app,tablet,despesa_grupo,viagem,Evento Churrasco,Reserva,"2830,87",boleto,Isabela,4,25.0,707.72,aberto,atrasado,2025-04-20,45,sim,api_integracao,-567.06,2.1,
CAF-00095,2025-03-09,Uberaba,MG,api,tablet,pagamento_rateio,mercado,Pessoal,Hortifruti,"726,07",dinheiro,Eduarda,1,100.0,726.07,aberto,pendente,25/03/2025,0,sim,manual,13.82,4.0,
CAF-00096,2025-06-02,Campinas,SP,web,tablet,despesa_grupo,moradia,Republica Alpha,Água,1089.36,dinheiro,Giovana,5,20.0,217.87,fechado,pago,20/06/2025,0,SIM,importacao_bancaria,223.58,3.9,
CAF-00097,04-04-2025,Salvador,BA,site,tablet,reembolso,contas,Casa 302,Internet,"232,57",cartao_debito,Henrique,8,12.5,29.07,aberto,pendente,2025-04-24,0,sim,recorrente,467.31,3.5,
CAF-00098,03/04/2025,Ribeirão Preto,SP,api,tablet,despesa_grupo,saude,Amigos Futebol,Farmácia,650.6,cartao_credito,João,8,12.5,"81,33",aberto,atrasado,2025-04-05,28,NÃO,recorrente,"-85,17",3.4,
CAF-00099,2025-06-09,Belo Horizonte,MG,app,mobile,despesa_grupo,mercado,Evento Churrasco,Compra mensal,"449,44",boleto,Felipe,5,20.0,NA,fechado,falha pagto,19/06/2025,0,NÃO,api_integracao,300.14,"2,5",
CAF-00100,12/07/2025,Curitiba,PR,app,tablet,despesa_grupo,alimentacao,Republica Alpha,Almoço,363.01,dinheiro,Bruno,6,16.67,60.5,aberto,pago,2025-07-18,0,sim,api_integracao,-94.95,2.3,
CAF-00101,25-09-2025,Salvador,BA,app,tablet,despesa_pessoal,lazer,Evento Churrasco,Barzinho,"210,81",pix,Larissa,2,100,"105,41",fechado,atrasado,2025-10-10,6,,manual,268.28,2.3,
CAF-00102,18/02/2025,uberaba,mg,site,desktop,despesa_grupo,saude,Amigos Futebol,Exame,92.61,cartao_debito,Carla,2,50.0,46.3,parcial,falha_pagamento,26/02/2025,0,NÃO,recorrente,178.62,"4,4",
CAF-00103,15/01/2025,São Paulo,SP,web,desktop,despesa_grupo,mercado,Casa 302,Supermercado,603.31,transferencia,Isabela,8,12.5,"75,41",fechado,atrasado,22/01/2025,43,SIM,manual,-80.58,4.2,
CAF-00104,2025-03-26,Ribeirão Preto,SP,api,mobile,despesa_pessoal,educacao,Pessoal,Livro,574.67,dinheiro,Natália,1,100,574.67,parcial,pendente,2025-04-10,8,sim,manual,-115.87,2.1,
CAF-00105,2025-08-21,Ribeirão Preto,SP,web,mobile,despesa_grupo,lazer,Republica Alpha,Barzinho,311.54,transferencia,Natália,4,25.0,77.89,parcial,pago,2025-08-24,0,nao,recorrente,-431.46,"4,2",
CAF-00106,05/03/2025,Ribeirão Preto,SP,site,desktop,despesa_grupo,alimentacao,Pessoal,Padaria,"418,25",boleto,Natália,1,100.0,418.25,fechado,pendente,2025-03-23,0,sim,recorrente,189.03,3.8,
CAF-00107,2025-09-20,Salvador,BA,site,mobile,despesa_grupo,mercado,Casa 302,Compra mensal,125.78,transferencia,Larissa,3,33.33,NA,parcial,pago,2025-09-30,0,SIM,recorrente,"99,37",4.8,
CAF-00108,17/05/2025,São Paulo,SP,site,mobile,receita,mercado,Pessoal,Salário,3379.79,boleto,Pedro,1,100,3379.79,fechado,pago,2025-05-24,0,,recorrente,-314.89,"4,4",
CAF-00109,15/08/2025,Salvador,BA,site,tablet,pagamento_rateio,mercado,Evento Churrasco,Supermercado,"836,18",pix,Carla,3,33.33,278.73,fechado,pendente,2025-08-16,0,nao,importacao_bancaria,100.78,2.8,
CAF-00110,2025-06-12,São Paulo,SP,site,desktop,despesa_pessoal,contas,Pessoal,Água,752.64,transferencia,Felipe,1,100,752.64,aberto,pendente,2025-07-01,0,sim,manual,202.73,3.3,
CAF-00111,2025-07-11,Ribeirão Preto,SP,site,desktop,despesa_pessoal,transporte,Pessoal,Uber,538.49,cartao_credito,Larissa,1,100,538.49,fechado,pendente,24/07/2025,0,NÃO,manual,296.27,2.5,
CAF-00112,2025-01-09,Uberlândia,MG,app,tablet,despesa_pessoal,transporte,Pessoal,Uber,257.01,transferencia,Eduarda,1,100,257.01,parcial,pendente,data inválida,0,sim,recorrente,-412.41,2.7,
CAF-00113,2025-10-12,uberaba,MG,app,desktop,despesa_grupo,viagem,Equipe Projeto,Reserva,"2776,66",cartao_credito,Carla,3,33.33,925.55,aberto,atrasado,2025-10-18,43,,manual,421.67,"4,8",
CAF-00114,05-02-2025,Salvador,BA,api,tablet,despesa_pessoal,viagem,Pessoal,Passagem,1051.6,cartao_credito,Mateus,1,100,1051.6,fechado,pago,2025-02-16,0,SIM,recorrente,-44.58,3.1,
CAF-00115,10/01/2025,Uberaba,MG,site,mobile,despesa_pessoal,educacao,Evento Churrasco,Mensalidade,"1392,58",cartao_credito,Rafaela,8,100,174.07,parcial,atrasado,2025-01-14,33,sim,recorrente,-163.36,2.0,
CAF-00116,2025-07-03,Ribeirão Preto,SP,site,mobile,despesa_pessoal,educacao,Casa 302,Livro,1645.73,pix,Ana,7,100,235.1,aberto,pago,2025-07-19,0,SIM,api_integracao,94.36,3.7,
CAF-00117,2025-01-04,São Paulo,SP,api,mobile,despesa_grupo,moradia,Casa 302,Internet,"687,24",cartao_credito,Giovana,8,12.5,85.91,aberto,pendente,2025-01-19,0,NÃO,manual,-307.6,2.4,
CAF-00118,26-05-2025,Campinas,SP,web,mobile,despesa_grupo,contaz,Viagem Praia,Água,535.38,boleto,Eduarda,3,33.33,178.46,fechado,pago,2025-06-09,0,sim,importacao_bancaria,-146.15,2.4,
CAF-00119,2025-02-17,São Paulo,SP,app,tablet,despesa_pessoal,educacao,Pessoal,Curso,1572.53,dinheiro,Natália,1,100,1572.53,fechado,pago,2025-03-07,0,nao,api_integracao,"-27,43","2,7",
